atomic_number,name,symbol,block,mass_number,isotopes
1,Hydrogen,H,s,1,3
2,Helium,He,s,4,2
3,Lithium,Li,s,7,2
4,Beryllium,Be,s,9,1
5,Boron,B,p,11,2
6,Carbon,C,p,12,3
7,Nitrogen,N,p,14,2
8,Oxygen,O,p,16,3
9,Fluorine,F,p,19,1
10,Neon,Ne,p,20,3
11,Sodium,Na,s,23,2
12,Magnesium,Mg,s,24,3
13,Aluminum,Al,p,27,1
14,Silicon,Si,p,28,3
15,Phosphorus,P,p,31,1
16,Sulfur,S,p,32,4
17,Chlorine,Cl,p,35,3
18,Argon,Ar,p,40,4
19,Potassium,K,s,39,3
20,Calcium,Ca,s,40,7
21,Scandium,Sc,d,45,1
22,Titanium,Ti,d,48,5
23,Vanadium,V,d,51,2
24,Chromium,Cr,d,52,4
25,Manganese,Mn,d,55,2
26,Iron,Fe,d,56,4
27,Cobalt,Co,d,59,2
28,Nickel,Ni,d,58,5
29,Copper,Cu,d,63,2
30,Zinc,Zn,d,64,5
31,Gallium,Ga,p,69,2
32,Germanium,Ge,p,74,5
33,Arsenic,As,p,75,1
34,Selenium,Se,p,80,7
35,Bromine,Br,p,79,2
36,Krypton,Kr,p,84,7
37,Rubidium,Rb,s,85,2
38,Strontium,Sr,s,88,4
39,Yttrium,Y,d,89,1
40,Zirconium,Zr,d,90,5
41,Niobium,Nb,d,93,1
42,Molybdenum,Mo,d,98,7
43,Technetium,Tc,d,98,3
44,Ruthenium,Ru,d,102,7
45,Rhodium,Rh,d,103,1
46,Palladium,Pd,d,106,6
47,Silver,Ag,d,107,2
48,Cadmium,Cd,d,114,8
49,Indium,In,p,115,2
50,Tin,Sn,p,120,10
51,Antimony,Sb,p,121,3
52,Tellurium,Te,p,130,8
53,Iodine,I,p,127,2
54,Xenon,Xe,p,132,9
55,Cesium,Cs,s,133,4
56,Barium,Ba,s,138,8
57,Lanthanum,La,d,139,3
58,Cerium,Ce,f,140,4
59,Praseodymium,Pr,f,141,1
60,Neodymium,Nd,f,142,7
61,Promethium,Pm,f,145,3
62,Samarium,Sm,f,152,8
63,Europium,Eu,f,153,5
64,Gadolinium,Gd,f,158,7
65,Terbium,Tb,f,159,3
66,Dysprosium,Dy,f,164,7
67,Holmium,Ho,f,165,1
68,Erbium,Er,f,166,6
69,Thulium,Tm,f,169,2
70,Ytterbium,Yb,f,174,7
71,Lutetium,Lu,f,175,4
72,Hafnium,Hf,d,180,6
73,Tantalum,Ta,d,181,2
74,Tungsten,W,d,184,5
75,Rhenium,Re,d,187,2
76,Osmium,Os,d,192,7
77,Iridium,Ir,d,193,2
78,Platinum,Pt,d,195,6
79,Gold,Au,d,197,1
80,Mercury,Hg,d,202,7
81,Thallium,Tl,p,205,3
82,Lead,Pb,p,208,4
83,Bismuth,Bi,p,209,2
84,Polonium,Po,p,208,3
85,Astatine,At,p,210,2
86,Radon,Rn,p,210,3
87,Francium,Fr,s,212,3
88,Radium,Ra,s,226,2
89,Actinium,Ac,d,225,2
90,Thorium,Th,f,232,3
91,Protactinium,Pa,f,231,2
92,Uranium,U,f,238,5
93,Neptunium,Np,f,236,2
94,Plutonium,Pu,f,238,6
95,Americium,Am,f,241,2
96,Curium,Cm,f,243,6
97,Berkelium,Bk,f,247,2
98,Californium,Cf,f,249,4
99,Einsteinium,Es,f,252,2
100,Fermium,Fm,f,253,2
101,Mendelevium,Md,f,258,2
102,Nobelium,No,f,255,2
103,Lawrencium,Lr,f,261,2
104,Rutherfordium,Rf,d,265,2
105,Dubnium,Db,d,268,2
106,Seaborgium,Sg,d,269,2
107,Bohrium,Bh,d,270,2
108,Hassium,Hs,d,269,2
109,Meitnerium,Mt,d,276,2
110,Darmstadtium,Ds,d,280,2
111,Roentgenium,Rg,d,281,2
112,Copernicium,Cn,d,283,2
113,Nihonium,Nh,p,285,2
114,Flerovium,Fl,p,287,3
115,Moscovium,Mc,p,288,3
116,Livermorium,Lv,p,291,3
117,Tennessine,Ts,p,293,2
118,Oganesson,Og,p,294,1
